prompt_id,judge_pairwise_disagreement_rate,discordant_pairs,comparable_pairs,distinct_objective_winners,skywork_winner,athene_winner,armo_winner,prompt_preview
05e5f307495f6715983c51e245696b0c15358f33,0.6896551724137931,20,29,2,htmnpo_athene_s2,baseline,baseline,Calculate the sum of 5857 and 9224.
6a783004db185d09998eca994ba0a606107398f9,0.6341463414634146,26,41,3,htmnpo_athene_s2,ronpo_s2_ckpt1400,baseline,Generate a list of six things that bring you joy.
0e9d4710e8dc28a882fb00730c9421a31bbec53e,0.631578947368421,24,38,3,htmnpo_athene_s2,ronpo_s2_ckpt1400,baseline,"Q: In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative. The sush"
f6ec8105c573d3206da61e3327b3487e8ef75c8c,0.59375,19,32,2,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,"[Question]A supermarket has 2355 loaves of bread at the start of the day. By afternoon, 629 loaves are sold, and a further 489 loaves are delivered to the supermarket by their supplier in the evening. How many loaves of "
374ddbc583700584d5906f127d05e22e2d85815f,0.5813953488372093,25,43,2,htmnpo_armo_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,"Next Question: Given the sentence ""A crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt."" is it true that ""A crowd gathers to hear the concert.""? My Answer: Let's thin"
d71831e7ba21fbc2f5afad5f8b645856dd8e7f8d,0.5789473684210527,22,38,2,htmnpo_skywork_s2,baseline,htmnpo_skywork_s2,I am planning a vacation and need your help to optimize the trip
d4a154926b73e8fb6b63f9783af2275ef9202734,0.5777777777777777,26,45,2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_skywork_s2,"Can you identify four words that have the same first and last letter, and contain only three distinct letters in between them?"
c7009f155f082ae47625a0606bee964f80baa294,0.5777777777777777,26,45,2,baseline,baseline,ronpo_s2_ckpt2457,Provide a metaphor that compares a densely populated city to a living organism.
fe3a6bf3a55df29ce79e0052408fde83f3aadcc0,0.5757575757575758,19,33,3,htmnpo_athene_s2,baseline,ronpo_s2_ckpt1400,"Definition: In this task, you are given a list of integers and an integer k. You need to add integer k to each element in the list and return the updated list. Input: [105, 147, 171, 18, 294, 33, 158, 142, 86, 141, 79, 2"
52720db02381e80e15c589708d62cbc53139db38,0.5714285714285714,24,42,3,htmnpo_armo_s2,baseline,htmnpo_athene_s2,"Given a premise, an initial context, an original ending, and a counterfactual context, the task is to generate a new story ending aligned with the counterfactual context and as close to the original ending as possible. E"
f277ce91abe0ab9e6828857c9dcb958c30a7c23f,0.5714285714285714,24,42,2,htmnpo_skywork_s2,htmnpo_skywork_s2,htmnpo_athene_s2,Question: Process:  - Magma moves closer to the Earth&#x27;s crust - The magma starts to cool - The cooling causes atoms in the magma to condense - The condensed magma solidifies - The solidified magma forms minerals.  P
60b3b76281ede65f1f91cf78a60fece5867a67f4,0.5714285714285714,24,42,2,ronpo_s2_ckpt1400,baseline,ronpo_s2_ckpt1400,"Given a sentence and a label in Croatian, select the correct answer. There are 2 choices given, out of which only one is correct for a given statement and label. The label of the task is either 'cause' or 'effect'. The o"
348b91ae809de257fc38614c20440e977a148ca6,0.5714285714285714,24,42,2,htmnpo_armo_s2,baseline,baseline,"Given an entity as input, output another entity which is part of the input entity. These are entities of meronym. In linguistics, meronymy is a semantic relation between a meronym denoting a part and a holonym denoting a"
23d3c9937c8df482c7aff3475ddca56a4e39957d,0.5609756097560976,23,41,2,htmnpo_armo_s2,baseline,baseline,"Design a logo for a company named ""Coffee Beans LLC""."
b62c6a9fbbe541b5736b74b833e739a773ec242a,0.5581395348837209,24,43,2,htmnpo_armo_s2,htmnpo_armo_s2,baseline,Name a kind of foxes that live in water.
745042e2803b8825910a6b85daae1e9deee6fb49,0.5384615384615384,21,39,2,ronpo_s2_ckpt2457,htmnpo_athene_s2,ronpo_s2_ckpt2457,"import { catchError, from, map, mergeAll, mergeMap, Observable, of, pipe, Subscription } from 'rxjs';  import DecisionTreeDataBus from 'application/decisionTree/dataBus/interface'; import OutgoingActionTypeDecisionTree f"
f232ba44196a94a536b7418f18aa8699e4fedddf,0.5333333333333333,24,45,3,htmnpo_armo_s2,htmnpo_skywork_s2,ronpo_s2_ckpt2457,Write in longwinded way using lots of long words: The chicken crossed the road.
c15fa68d993f521855a7f486729286c5de41fcb9,0.5333333333333333,24,45,3,htmnpo_skywork_s2,htmnpo_armo_s2,ronpo_s2_ckpt2457,"Detailed Instructions: In this task, you are given a hateful post in Bengali that expresses hate or encourages violence towards a person or a group based on the protected characteristics such as race, religion, sex, and "
40a63dfe54d582a50d0d93b7e7c617a857f53c5f,0.5333333333333333,24,45,3,ronpo_s2_ckpt1400,htmnpo_skywork_s2,baseline,"create a react question based on the given solution  import React, { useState } from ""react""; import ""../styles/App.css""; function FoodList() {  const [foods, setFoods] = useState([]);  const [itemName, setItemName] = us"
1584ec91cff41a9c4f6577da9ceec835af50b837,0.5333333333333333,24,45,3,htmnpo_athene_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,Could a llama birth twice during War in Vietnam (1945-46)? Chain of thought:
02e2fb3a9a3b2194ce61ed784b3497630200e0db,0.5333333333333333,24,45,3,htmnpo_armo_s2,ronpo_s2_ckpt1400,baseline,"Please continue from ""Answers:  . 10799 IN DNSKEY 256 3 8 AwEAAbOvDzr7VH3mFGu+gV8cXsB9Np/KLK0Z/AGLW8c+gusI6TFNz6N2U0WElUvjrX9pJZPEpt31ZPh1w+y8+jvUOnV6Uug1i38QW6a8lYbrXV7jTynRmrZV7RK8bIStQ1j3iOl3HUTV7C8gumIuq+3qHmOJhKz08m"
fa0a5c8f3ae50d9643e185d7aaeb5b80847e3baf,0.5333333333333333,24,45,2,htmnpo_armo_s2,baseline,baseline,Part 1. Definition You are given a statement written in Gujarati. Choose the most logical word from the given 4 options which can be used to replace the <MASK> token in the statement. Output the word from the correct opt
b2eeb2642de12d1dab12d5d9eff0a48a979fab04,0.5333333333333333,24,45,2,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,"In this task, you are given a sentence from the research paper and the category to which it belongs. Your task is to classify whether the given category is correct or not by providing ""True"" and ""False"", respectively. He"
999230976ed1093332a40f4bae708b9aeb71afec,0.5333333333333333,24,45,2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,"to fulfill for an assignment which doesn’t require that you choose a topic, or as detailed previously, you now have a topic in mind and has to decide on how best to present it and which essay format would be better to ut"
4d425a4839d78b0525831536a239326b72729645,0.5333333333333333,24,45,2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,A text is given in Bengali. Translate it from the Bengali language to the English language. The translation must not omit or add information to the original sentence. Q: এই মউ এর মাধ্যমে দুই পক্ষের সমান সদস্য নিয়ে একটি 
cdac66eeafaf307dd057ee1a82a9c3a76728fd4e,0.5238095238095238,22,42,3,htmnpo_athene_s2,baseline,htmnpo_armo_s2,"You are given a time in 24-Hours format, and you need to convert it to time in the 12-Hours format. For a 24-Hours format time larger than 12:00, subtract 12 hours from the given time, then add 'PM'.  For example, if you"
43334bb4c710132a09c017596cea9bc9d94cf44d,0.5238095238095238,22,42,3,ronpo_s2_ckpt1400,htmnpo_skywork_s2,htmnpo_athene_s2,"Detailed Instructions: Given a fact, create a question that can be answered using the fact. Construct the question such that it is unambiguous, has a unique answer and the answer can be given using the fact. Problem:Fact"
a49144f457013fd1adb1e9873a6b3049b4040a41,0.5238095238095238,22,42,2,ronpo_s2_ckpt1400,htmnpo_athene_s2,htmnpo_athene_s2,"can you help me proofread this agreement, to make sure it protects the writer, client and also compliant to Singapore law:  AGREEMENT FOR GHOSTWRITING SERVICES This Ghostwriting agreement (""Agreement"") is made and entere"
360b3f867673e69bec37ed814195b81f4fe758bc,0.5116279069767442,22,43,3,htmnpo_skywork_s2,baseline,ronpo_s2_ckpt1400,"From the given sentence, extract the phrase (often noun or verb) that carries the given relationship. The generated phrase should be present in the sentence.  Q: Given Relationship: 'be hold', Sentence: 'Services will be"
